novel,anchor_position,target_position,window,state_drifted,quote_id,ear_correct,fa_correct
PrideAndPrejudice,143,146,3,True,PrideAndPrejudice_146,0,0
PrideAndPrejudice,143,144,5,True,PrideAndPrejudice_144,0,0
PrideAndPrejudice,143,146,5,True,PrideAndPrejudice_146,0,0
PrideAndPrejudice,143,147,5,True,PrideAndPrejudice_147,1,1
PrideAndPrejudice,143,148,5,True,PrideAndPrejudice_148,1,1
PrideAndPrejudice,198,200,3,True,PrideAndPrejudice_200,0,0
PrideAndPrejudice,198,200,5,True,PrideAndPrejudice_200,0,0
PrideAndPrejudice,198,203,5,True,PrideAndPrejudice_203,0,0
PrideAndPrejudice,213,215,3,False,PrideAndPrejudice_215,1,1
PrideAndPrejudice,213,216,3,False,PrideAndPrejudice_216,1,1
PrideAndPrejudice,213,215,5,False,PrideAndPrejudice_215,1,1
PrideAndPrejudice,213,216,5,False,PrideAndPrejudice_216,1,1
PrideAndPrejudice,213,217,5,False,PrideAndPrejudice_217,1,1
PrideAndPrejudice,232,233,1,False,PrideAndPrejudice_233,1,1
PrideAndPrejudice,232,233,3,False,PrideAndPrejudice_233,1,1
PrideAndPrejudice,232,233,5,False,PrideAndPrejudice_233,1,1
PrideAndPrejudice,232,236,5,False,PrideAndPrejudice_236,1,1
PrideAndPrejudice,232,237,5,False,PrideAndPrejudice_237,1,1
PrideAndPrejudice,478,479,1,True,PrideAndPrejudice_479,0,0
PrideAndPrejudice,478,479,3,True,PrideAndPrejudice_479,0,0
PrideAndPrejudice,478,480,3,True,PrideAndPrejudice_480,1,1
PrideAndPrejudice,478,481,3,True,PrideAndPrejudice_481,0,0
PrideAndPrejudice,478,479,5,True,PrideAndPrejudice_479,0,0
PrideAndPrejudice,478,480,5,True,PrideAndPrejudice_480,1,1
PrideAndPrejudice,478,481,5,True,PrideAndPrejudice_481,0,0
PrideAndPrejudice,478,482,5,True,PrideAndPrejudice_482,0,0
PrideAndPrejudice,478,483,5,True,PrideAndPrejudice_483,0,0
PrideAndPrejudice,521,524,3,True,PrideAndPrejudice_524,0,0
PrideAndPrejudice,521,524,5,True,PrideAndPrejudice_524,0,0
PrideAndPrejudice,521,526,5,True,PrideAndPrejudice_526,0,0
PrideAndPrejudice,742,746,5,True,PrideAndPrejudice_746,1,1
PrideAndPrejudice,745,746,1,False,PrideAndPrejudice_746,1,1
PrideAndPrejudice,745,746,3,False,PrideAndPrejudice_746,1,1
PrideAndPrejudice,745,746,5,False,PrideAndPrejudice_746,1,1
PrideAndPrejudice,837,839,3,False,PrideAndPrejudice_839,1,1
PrideAndPrejudice,837,840,3,False,PrideAndPrejudice_840,0,0
PrideAndPrejudice,837,839,5,False,PrideAndPrejudice_839,1,1
PrideAndPrejudice,837,840,5,False,PrideAndPrejudice_840,0,0
PrideAndPrejudice,879,881,3,True,PrideAndPrejudice_881,1,1
PrideAndPrejudice,879,881,5,True,PrideAndPrejudice_881,1,1
PrideAndPrejudice,879,883,5,True,PrideAndPrejudice_883,1,1
PrideAndPrejudice,879,884,5,True,PrideAndPrejudice_884,0,0
PrideAndPrejudice,934,935,1,True,PrideAndPrejudice_935,0,0
PrideAndPrejudice,934,935,3,True,PrideAndPrejudice_935,0,0
PrideAndPrejudice,934,936,3,True,PrideAndPrejudice_936,1,1
PrideAndPrejudice,934,937,3,True,PrideAndPrejudice_937,0,0
PrideAndPrejudice,934,935,5,True,PrideAndPrejudice_935,0,0
PrideAndPrejudice,934,936,5,True,PrideAndPrejudice_936,1,1
PrideAndPrejudice,934,937,5,True,PrideAndPrejudice_937,0,0
PrideAndPrejudice,957,958,1,False,PrideAndPrejudice_958,0,0
PrideAndPrejudice,957,958,3,False,PrideAndPrejudice_958,0,0
PrideAndPrejudice,957,958,5,False,PrideAndPrejudice_958,0,0
PrideAndPrejudice,1211,1212,1,False,PrideAndPrejudice_1212,1,1
PrideAndPrejudice,1211,1212,3,False,PrideAndPrejudice_1212,1,1
PrideAndPrejudice,1211,1213,3,False,PrideAndPrejudice_1213,1,1
PrideAndPrejudice,1211,1212,5,False,PrideAndPrejudice_1212,1,1
PrideAndPrejudice,1211,1213,5,False,PrideAndPrejudice_1213,1,1
PrideAndPrejudice,1211,1216,5,False,PrideAndPrejudice_1216,1,1
